date,value,Microsoft Close,Apple Close,Amazon Close,IBM Close,Nike Close
1997-07-01,8662.823,124.94,13.19,18.19,91.81,58.0
1997-10-01,8765.907,133.88,21.53,48.25,103.5,52.88
1998-04-01,8969.699,90.37,27.5,90.13,104.44,44.13
1998-07-01,9121.097,109.37,29.94,114.1,116.75,52.06
1998-10-01,9293.991,104.06,35.69,102.6,125.37,37.25
1999-04-01,9526.21,92.69,36.06,171.0,177.0,56.19
1999-07-01,9686.626,91.19,45.31,122.4,131.0,59.56
1999-10-01,9900.169,89.98,61.72,77.25,117.75,57.56
2001-10-01,10660.465,51.79,15.54,6.01,92.71,46.89
2002-04-01,10887.46,60.38,24.46,14.8,102.86,58.74
2002-07-01,10984.04,52.66,17.06,13.55,67.6,54.6
2002-10-01,11061.433,46.23,14.51,16.95,61.17,43.48
2003-04-01,11312.766,24.35,14.16,25.54,78.73,50.8
2003-07-01,11566.669,26.15,19.09,37.25,83.59,53.88
2003-10-01,11772.234,28.52,20.79,49.12,90.35,61.87
2004-04-01,12112.815,25.08,27.11,44.74,92.37,76.39
2004-07-01,12305.307,28.63,32.3,52.56,87.5,75.29
2004-10-01,12527.214,28.25,38.67,40.47,86.72,79.88
2005-04-01,12922.656,24.12,40.89,34.01,90.44,83.0
2005-07-01,13142.642,24.71,36.5,32.91,74.67,86.01
2007-10-01,14715.058,29.7701,156.339,93.41,119.03,59.39
2008-04-01,14865.701,29.4999,149.5301,76.7,116.49,69.57
2008-07-01,14898.999,26.87,174.68,73.62,119.27,58.99
2008-10-01,14608.208,26.48,109.12,69.58,110.13,66.16
2009-04-01,14381.236,19.31,108.69,73.5,97.61,47.0
2009-07-01,14448.882,24.04,142.83,81.6,104.84,52.42
2009-10-01,14651.248,24.88,180.8599,91.04,117.9,62.5
2010-04-01,14980.193,29.16,235.97,131.81,128.25,74.01
2010-07-01,15141.605,23.16,248.48,110.96,122.57,68.07
2010-10-01,15309.471,24.38,282.52,153.71,135.64,80.25
2011-04-01,15557.535,25.48,344.56,180.13,164.27,76.53
2011-07-01,15647.681,26.02,343.26,209.49,174.54,91.82
2012-10-01,16420.386,29.49,659.39,252.01,210.47,95.55
2013-04-01,16699.551,28.61,428.91,261.61,212.38,58.26
2013-07-01,16911.068,34.36,409.22,282.1,191.28,62.33
2013-10-01,17133.114,33.58,487.96,320.95,186.38,72.42
2014-04-01,17462.703,41.42,541.65,342.99,194.5,74.39
2014-07-01,17743.227,41.87,93.52,332.39,186.35,78.0
2014-10-01,17852.54,45.9,99.18,317.46,187.17,87.7
2015-04-01,18193.707,40.72,124.25,370.255,159.18,99.55
2015-07-01,18306.96,44.445,126.6,437.39,164.49,109.43
2015-10-01,18332.079,44.61,109.58,520.72,143.59,123.83
2016-04-01,18611.617,55.57,109.99,598.5,152.52,61.59
2016-07-01,18775.459,51.16,95.89,725.68,152.35,55.61
